"Estimates of the components of interprovincial migration, by age and gender, annual 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0015-01 (formerly CANSIM 051-0012)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gender","Total - gender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Migrants","In-migrants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Age group 4 8 9","1980 / 1981","1981 / 1982","1982 / 1983","1983 / 1984","1984 / 1985","1985 / 1986","1986 / 1987","1987 / 1988","1988 / 1989","1989 / 1990","1990 / 1991","1991 / 1992","1992 / 1993","1993 / 1994","1994 / 1995","1995 / 1996","1996 / 1997","1997 / 1998","1998 / 1999","1999 / 2000","2000 / 2001","2001 / 2002","2002 / 2003","2003 / 2004","2004 / 2005","2005 / 2006","2006 / 2007","2007 / 2008","2008 / 2009","2009 / 2010","2010 / 2011","2011 / 2012","2012 / 2013","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2018 / 2019","2019 / 2020","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55 to 59 years","6,789","5,433","5,009","4,835","4,746","4,955","5,027","5,449","5,661","6,485","5,793","5,008","4,890","4,912","4,875","5,131","5,953","6,357","5,967","6,294","6,047","7,781","7,727","7,654","8,582","8,547","10,989","11,398","10,529","10,200","9,954","10,532","9,751","10,238","10,748","10,622","11,339","11,346","11,045","11,742","10,243","14,655","13,085","10,744","10,519"
"60 to 64 years","5,696","4,435","4,102","3,956","3,868","4,021","4,800","5,273","5,552","6,403","5,686","4,901","4,784","4,810","4,701","4,999","4,828","5,102","4,738","4,983","4,772","4,963","4,896","4,846","5,485","5,497","7,299","7,570","7,000","6,749","6,597","7,698","7,173","7,545","7,925","7,862","9,271","9,342","9,094","9,689","8,443","13,925","12,511","10,826","10,186"
"65 to 69 years","5,072","3,803","4,072","3,728","3,830","4,062","4,271","4,616","4,664","5,213","4,660","4,120","4,022","4,012","3,793","4,113","4,656","4,703","4,355","4,617","4,439","4,612","4,484","4,489","4,751","4,693","4,832","4,726","4,557","4,705","4,684","5,579","5,397","6,128","6,476","6,709","7,609","8,131","7,807","8,646","7,883","11,230","10,185","8,666","8,304"
"70 to 74 years","2,777","2,112","2,312","2,104","2,187","2,263","2,484","2,711","2,721","3,077","2,740","2,420","2,405","2,384","2,233","2,426","2,979","3,024","2,799","2,961","2,831","3,583","3,427","3,438","3,674","3,583","3,355","3,257","3,157","3,255","3,240","3,437","3,294","3,752","3,965","4,139","3,949","4,201","4,034","4,449","4,077","7,303","6,590","5,540","5,414"
"75 to 79 years","1,775","1,206","1,349","1,225","1,282","1,332","1,387","1,512","1,548","1,743","1,563","1,600","1,589","1,557","1,465","1,593","2,194","2,249","2,071","2,187","2,104","2,997","2,818","2,796","2,987","2,939","2,610","2,555","2,434","2,542","2,532","2,664","2,581","2,928","3,134","3,266","2,399","2,566","2,473","2,708","2,470","3,894","3,959","3,574","3,204"
"80 to 84 years","1,021","609","677","611","642","667","650","677","702","807","731","777","762","739","693","770","1,322","1,364","1,260","1,329","1,256","1,545","1,459","1,458","1,568","1,540","1,888","1,820","1,730","1,811","1,820","1,814","1,758","2,010","2,126","2,200","1,226","1,322","1,274","1,390","1,257","2,234","2,337","2,163","1,898"
"85 to 89 years","302","165","190","177","181","193","179","194","202","225","205","338","323","328","307","333","618","637","585","646","592","750","700","691","756","735","940","903","896","926","925","915","884","1,005","1,064","1,089","677","727","712","777","690","1,346","1,225","1,141","1,034"
"90 to 94 years","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","178","178","169","164","177","176","269","267","270","267","275","232","228","266","283","288","257","281","270","300","266","587","539","529","450"
"95 to 99 years","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","10","9","10","12","11","67","66","59","63","64","46","40","52","55","54","34","34","34","42","31","130","135","123","94"
"100 years and older","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","5","4","5","6","6","0","0","0","0","0","15","13","13","5"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Interprovincial migration represents movements from one province or territory to another, involving a change in usual place of residence. A person who takes up residence in another province or territory is an out-migrant with reference to the province or territory of origin, and an in-migrant with reference to the province or territory of destination. Net interprovincial migration is the difference between the number of in-migrants and the number of out-migrants."
2,"Period from July 1 to June 30."
3,"The number of interprovincial migrants is final up to 2023/2024 and preliminary for 2024/2025."
4,"Data for persons aged 90 to 100 years and older will be available from 2001/2002."
5,"From 1971/1972 to 1975/1976, estimates are based on Family Allowance data. From 1976/1977 to 2023/2024, estimates are based on Canada Revenue Agency (CRA) tax data. For 2024/2025, estimates are based on Canada child benefit data from CRA."
6,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
7,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category "Men+", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca)."
8,"Age at July 1."
9,"Prior to 2021/2022, the distribution by age and gender is based partly on the mobility question from the most recent census that was available during the production of estimates. From 2021/2022, the distribution by age and gender is based solely on the T1 Family File (T1FF). For preliminary data, the distribution by age and gender is based on 3 years of the most recent T1 Family File data available."
10,"Age -1 represents persons born after July 1 and not included in age group 0 to 4 years."



"How to cite: Statistics Canada. Table 17-10-0015-01  Estimates of the components of interprovincial migration, by age and gender, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710001501
